24/ 5.200 / 2.900 / 7.204 / 9.915 / 21.500  / 18.700 / 8.740 / 721.321 / 284.435 / 344.716 / 439.425
25/ 5.250 / 2.815 / 7.248 / 9.875 / 26.400  / 17.560 / 8.850 / 691.845 / 272.834 / 329.942 / 422.147
26/ 5.325 / 2.865 / 7.325 / 9.865 / 32.500  / 17.100 / 9.210 / 708.614 / 280.562 / 349.316 / 435.954
27/ 5.350 / 2.855 / 7.351 / 9.855 / 35.300  / 16.700 / 9.520 / 719.956 / 287.987 / 348.231 / 450.492
28/ 5.400 / 2.850 / 7.408 / 9.850 / 41.700  / 16.200 / 9.750 / 730.129 / 288.951 / 347.987 / 454.897
29/ 5.501 / 2.775 / 7.495 / 9.775 / 50.200  / 15.700 /10.100 / 717.152 / 285.494 / 342.967 / 458.289
30/ 5.600 / 2.750 / 7.607 / 9.750 / 62.700  / 15.360 / 0.100 / 278.654 / 111.209 / 132.856 / 172.164
31/ 5.700 / 2.710 / 7.697 / 9.697 / 69.800  / 14.700 / 1.150 / 242.145 / 96.197  / 115.632 / 153.356
32/ 5.750 / 2.603 / 7.750 / 9.605 / 75.100  / 13.340 / 1.360 / 186.243 / 77.325  /  93.135 / 127.168
33/ 5.800 / 2.495 / 7.798 / 9.495 / 80.520  / 11.720 / 1.750 / 162.345 / 64.615  /  77.844 / 106.123
34/ 5.850 / 2.394 / 7.850 / 9.415 / 85.100  / 8.900  / 2.130 / 132.879 / 52.534  /  63.353 /  82.659
35/ 5.907 / 2.245 / 7.913 / 9.255 / 90.760  / 7.740  / 2.570 / 167.156 / 65.178  /  79.167 / 93.834
36/ 5.910 / 2.192 / 7.910 / 9.205 / 91.100  / 6.360  / 2.750 / 170.531 / 66.176  /  80.836 /  91.345
37/ 5.925 / 2.175 / 7.925 / 9.175 / 92.500  / 5.700  / 3.260 / 184.243 / 70.364  /  87.192 /  96.841
38/ 5.929 / 2.125 / 7.929 / 9.125 / 92.900  / 3.750  / 3.790 / 181.956 / 70.428  /  85.834 / 93.952
39/ 6.010 / 2.105 / 7.933 / 9.091 / 93.300  / 3.650  / 4.120 / 216.829 / 83.475  / 101.985 / 109.463
40/ 5.935 / 2.010 / 7.935 / 8.985 / 94.500  / 3.520  / 4.360 / 273.329 / 104.924 / 128.591 / 133.415
41/ 5.950 / 2.110 / 7.950 / 9.115 / 98.600  / 2.720  / 3.850 / 219.421 / 84.183  / 102.861 / 108.613
42/ 5.020 / 2.115 / 6.995 / 9.115 / 110.00  / 2.340  / 2.340 / 225.356 / 86.324  / 105.817 / 107.319
43/ 6.050 / 2.128 / 7.950 / 9.120 / 95.260  / 2.560  / 1.680 / 176.578 / 66.457  / 78.473  / 82.263
44/ 5.935 / 2.131 / 7.935 / 9.130 / 93.520  / 2.760  / 1.320 / 170.948 / 65.814  / 81.417  / 84.132
45/ 5.925 / 2.135 / 7.925 / 9.135 / 92.800  / 2.980  / 1.160 / 168.334 / 64.549  / 78.653  / 81.953
